Suburb/Town,Postcode,Clinic,Clinic Phone Number,Referral Contact,HHS
Ficks Crossing,4606,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Fifteen Mile Creek,4352,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Fig Tree Pocket,4069,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Finch Hatton,4756,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Fisherman Island,4187,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Fitzgerald Creek,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Fitzgibbon ,4018,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Flaggy Rock,4741,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Flagstone Creek,4344,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Flametree,4802,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Flinders View,4305,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Flinton,4422,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Florida Gardens,4218,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Flying Fish Point,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Fordsdale,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Forest Hill,4342,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Forest Lake,4078,Inala CYMHS,2891 4200,CHQ-CYMHS-Inala@health.qld.gov.au,Children's Health
Forestdale,4118,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Forrest Beach,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Fortitude Valley,4006,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Forty Mile,4872,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Foulden,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Foxdale,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Frankfield,4721,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Frazerview,4309,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Fredericksfield,4806,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Freestone,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Frenches Creek,4310,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Frenchville,4701,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Freshwater Point,4737,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Fruitgrove,4113,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Fulham,4313,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Gaeta,4671,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Gailes,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Gairloch,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Galloways Hill,4171,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Garbutt,4814,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Garden Island,4184,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Gargett,4741,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Garnant,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Garners Beach,4852,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Garradunga,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Garrawalt,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Gatton,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Gaven,4211,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Gaven,4211,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Gayndah,4625,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Gaythorne,4051,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Geebung,4034,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Germantown,4871,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Gilberton,4208,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Gilston,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Gilston,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Gin Gin,4671,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Gindoran,4676,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Giru,4809,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Giru,4809,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Gladfield,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Gladstone Central,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Glamorgan Vale,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Glan Devon,4615,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Glasshouse Mountains,4518,Sunshine Coast,5202 9500,SC-MHAS-DaltonDriveHub-Admin@health.qld.gov.au,Sunshine Coast
Glastonbury,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Glebe,4419,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Glen Allyn,4885,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Glen Aplin,4381,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Glen Cairn,4342,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Glen Eden,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Glen Esk,4312,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Glen Isla,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Glen Ruth,4872,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Glenaubyn,4424,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Glendale,4711,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Glenden,4743,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Gleneagle,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Glenella,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Glengallan,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Glenlee,4711,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Glenleigh,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Glenmoral,4719,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Glenmorgan,4423,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Glenorchy,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Glenore Grove,4342,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Glenrock,4605,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Glenroy,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Glenwood,4570,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Gloucester Island,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Godwin Beach,4511,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Gogango,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Goodger,4610,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Goodna,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Goodwood,4660,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Goolman,4305,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Goombi,4415,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Goomboorian,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Goombungee,4354,Toowoomba CYMHS,4616 6843,Toowoomba_CYMHS@health.qld.gov.au ,Darling Downs
Goomburra,4362,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Goondi,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Goondi Bend,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Goondi Hill,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Goondiwindi ,4390,Goondiwindi CYMHS,45782411,sd_cymhs@health.qld.gov.au,Darling Downs
Goorganga Creek,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Goorganga Plains,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Gooroolba,4625,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Goovigen,4702,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Goranba,4421,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Gordon Park,4031,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Gordonbrook,4610,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Gordonvale,4865,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Gore ,4352,Goondiwindi CYMHS,45782411,sd_cymhs@health.qld.gov.au,Darling Downs
Gowrie Station,4470,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Gracemere,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Graceville,4075,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Grahams Creek,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Grand Secret,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Grandchester,4340,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Grange,4051,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Grantham,4347,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Granville,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Grasstree Beach ,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Great Sandy Strait,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Green Hill,4865,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Greenbank,4124,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Greenhill,4865,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Greenlake,4701,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Greenlands,4380,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Greenmount,4225,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Greenmount,4359,Toowoomba CYMHS,4616 6843,Toowoomba_CYMHS@health.qld.gov.au ,Darling Downs
Greenslopes,4120,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Greenvale,4816,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Greenwood Village,4301,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au ,West Moreton
Gregors Creek,4313,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Gregory River,4660,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Greymare,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Griffin,4503,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Griffith University,4222,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Groper Creek,4806,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Grosmont,4419,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Grovely,4054,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Guanaba,4210,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Guanabe,4213,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Gulliver,4812,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Gulngai,4856,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Guluguba,4418,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Gumdale,4154,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Gumlow,4815,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Gumlu,4805,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Gunnawarra,4872,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Gunyarra,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Gurgeena,4626,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Gurulmundi,4415,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Guthalungra,4805,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Gympie,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Haigslea,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Half Tide Beach,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Halifax,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Halliday Bay,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Hamilton,4007,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Hamilton Creek,4714,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Hamilton Heights,4215,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Hamilton Island,4803,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Hamilton Plains,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Hampden,4741,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Hampton,4352,Toowoomba CYMHS,4616 6843,Toowoomba_CYMHS@health.qld.gov.au ,Darling Downs
Hannaford,4406,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Harlin,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Harrami,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Harrisville,4307,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Hatton Vale,4341,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Hawkins Creek,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Hawthorne,4171,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Hay Point,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Hayman Island,4801,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Hazeldine,4515,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Hazledean,4741,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Heathwood,4110,Inala CYMHS,2891 4200,CHQ-CYMHS-Inala@health.qld.gov.au,Children's Health
Hebel,4486,St George CYMHS,4620 2265,Referral_St_George@health.qld.gov.au,South West
Helens Hill,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Helensvale,4212,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Helidon,4344,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Helidon Spa,4344,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Hemmant,4174,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Hendon,4362,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Hendra,4011,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Herberton,4887,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Heritage Park,4118,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Hermit Park,4812,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Herston,4006,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Hervey Bay,4655,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Hervey Range,4817,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Heydon Heights,4218,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Hidden Valley,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Hideaway Bay,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Highfields,4352,Toowoomba CYMHS,4616 6843,Toowoomba_CYMHS@health.qld.gov.au ,Darling Downs
Highgate Hill,4101,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Highland Park,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Highvale,4520,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Hill End,4101,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Hillcrest,4118,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Hillview,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Hinchinbrook,4849,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Hirstglen,4359,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Hivesville,4612,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Hodgson,4352,Roma CYMHS, 46242 719,Referral_Roma@health.qld.gov.au,South West
Holland Park,4121,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Holland Park East,4121,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Holland Park West,4121,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Hollywell,4216,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Hollywell,4216,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Holmview,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Home Hill,4806,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Home Hill,4806,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Homestead,4816,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Hookswood,4415,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Hope Island,4212,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Hopeland,4413,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Hopevale,4895,Cooktown CYMHS, 4043 0190,TCHHS-MHATODS-CTN@health.qld.gov.au,Cairns & Hinterland
Hornet Bank,4420,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Horse Camp,4671,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Horse Creek,4714,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Horseshoe Lagoon,4809,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Horton,4660,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Howard,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Hoya,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Hudson,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Hull Heads,4854,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Hungerford,4493,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Hyde Park,4812,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Iama (Yam Island),4875,Thursday Island CYMHS, 4069 0695,TCHHS-MHATODS-TI@health.qld.gov.au,Torres & Cape
Idalia,4811,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Ideraway,4625,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Ilbilbie,4738,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Ilfracombe,4727,Longreach CYMHS,4652 7951,cw.mhaods.referral@health.qld.gov.au,Central West
Imbil,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
